no,bw_down,cfu,to0,from1,bw20,olt1
20.D50,0.003,EBIS,50,CNIptv,0.0188,OLT00**MGO*3PGS
21.D1,0.163000003,RETAIL,1,CGW2*.BTC,1.084,OLT00**PMET*3
21.D2,0.163000003,RETAIL,2,CGW*.BDS,1.084,OLT00**PMET*3
21.D3,0.163000003,RETAIL,3,CGW*.MDO,1.084,OLT00**PMET*3
21.D4,0.163000003,RETAIL,4,CGW*.PNK,1.084,OLT00**PMET*3
21.D5,0.163000003,RETAIL,5,TEL#_CGW2*.BDS,1.084,OLT00**PMET*3
21.D6,0.163000003,RETAIL,6,TEL#_CGW2**BDS,1.084,OLT00**PMET*3
21.D7,0.163000003,RETAIL,7,TEL#_CGW*.BDS,1.084,OLT00**PMET*3
21.D8,0.163000003,RETAIL,8,CGW2*.BTC,1.084,OLT00**PMET*3
21.D9,0.163000003,RETAIL,9,CGW*.BDS,1.084,OLT00**PMET*3
21.D10,0.163000003,RETAIL,10,CGW2*.BTC,1.084,OLT00**PMET*3
21.D11,0.163000003,RETAIL,11,CGW*.BDS,1.084,OLT00**PMET*3
21.D12,0.163000003,RETAIL,12,CGW2*.BTC,1.084,OLT00**PMET*3
21.D13,0.163000003,RETAIL,13,CGW*.BDS,1.084,OLT00**PMET*3
21.D14,0.163000003,RETAIL,14,CGW*.MDO,1.084,OLT00**PMET*3
21.D15,0.163000003,RETAIL,15,CGW*.PNK,1.084,OLT00**PMET*3
21.D16,0.163000003,RETAIL,16,TEL#_CGW2*.BDS,1.084,OLT00**PMET*3
21.D17,0.163000003,RETAIL,17,TEL#_CGW2**BDS,1.084,OLT00**PMET*3
21.D18,0.163000003,RETAIL,18,TEL#_CGW*.BDS,1.084,OLT00**PMET*3
21.D19,0.163000003,RETAIL,19,CGW2*.BTC,1.084,OLT00**PMET*3
21.D20,0.163000003,RETAIL,20,CGW*.BDS,1.084,OLT00**PMET*3
21.D21,0.163000003,RETAIL,21,CGW2*.BTC,1.084,OLT00**PMET*3
21.D22,0.163000003,RETAIL,22,CGW*.BDS,1.084,OLT00**PMET*3
21.D23,0.163000003,RETAIL,23,CGW2*.BTC,1.084,OLT00**PMET*3
21.D24,0.163000003,RETAIL,24,CGW*.BDS,1.084,OLT00**PMET*3
21.D25,0.163000003,RETAIL,25,CGW2*.BTC,1.084,OLT00**PMET*3
21.D26,0.163000003,RETAIL,26,CGW*.BDS,1.084,OLT00**PMET*3
21.D27,0.324999988,EBIS,27,CGW2*.BTC,2.168,OLT00**PMET*3
21.D28,0.324999988,EBIS,28,CGW*.BDS,2.168,OLT00**PMET*3
21.D29,0.488000005,WHOLESALE,29,CGW*.BDS,3.252,OLT00**PMET*3
21.D30,0.488000005,WHOLESALE,30,CGW*.MDO,3.252,OLT00**PMET*3
21.D31,0.649999976,MOBILE,31,CGW*.BDS,4.336,OLT00**PMET*3
21.D32,0.649999976,MOBILE,32,CGW*.MDO,4.336,OLT00**PMET*3
21.D33,0.163000003,RETAIL,33,CNGoogle,1.084,OLT00**PMET*3
21.D34,0.163000003,RETAIL,34,CNFacebook,1.084,OLT00**PMET*3
21.D35,0.163000003,RETAIL,35,CNNetflix,1.084,OLT00**PMET*3
21.D36,0.163000003,RETAIL,36,CNConversant,1.084,OLT00**PMET*3
21.D37,0.163000003,EBIS,37,CNGoogle,1.084,OLT00**PMET*3
21.D38,0.163000003,EBIS,38,CNFacebook,1.084,OLT00**PMET*3
21.D39,0.163000003,EBIS,39,CNNetflix,1.084,OLT00**PMET*3
21.D40,0.163000003,EBIS,40,CNConversant,1.084,OLT00**PMET*3
21.D41,0.163000003,WHOLESALE,41,CNGoogle,1.084,OLT00**PMET*3
21.D42,0.163000003,WHOLESALE,42,CNFacebook,1.084,OLT00**PMET*3
21.D43,0.163000003,WHOLESALE,43,CNNetflix,1.084,OLT00**PMET*3
21.D44,0.163000003,WHOLESALE,44,CNConversant,1.084,OLT00**PMET*3
21.D45,0.324999988,MOBILE,45,CNGoogle,2.168,OLT00**PMET*3
21.D46,0.324999988,MOBILE,46,CNFacebook,2.168,OLT00**PMET*3
21.D47,0.324999988,MOBILE,47,CNNetflix,2.168,OLT00**PMET*3
21.D48,0.324999988,MOBILE,48,CNConversant,2.168,OLT00**PMET*3
21.D49,0.216999993,RETAIL,49,CNIptv,1.445333333,OLT00**PMET*3
21.D50,0.216999993,EBIS,50,CNIptv,1.445333333,OLT00**PMET*3
22.D1,0.024,RETAIL,1,CGW2*.BTC,0.16,OLT00**SAR*5
22.D2,0.024,RETAIL,2,CGW*.BDS,0.16,OLT00**SAR*5
22.D3,0.024,RETAIL,3,CGW*.MDO,0.16,OLT00**SAR*5
22.D4,0.024,RETAIL,4,CGW*.PNK,0.16,OLT00**SAR*5
22.D5,0.024,RETAIL,5,TEL#_CGW2*.BDS,0.16,OLT00**SAR*5
22.D6,0.024,RETAIL,6,TEL#_CGW2**BDS,0.16,OLT00**SAR*5
22.D7,0.024,RETAIL,7,TEL#_CGW*.BDS,0.16,OLT00**SAR*5
22.D8,0.024,RETAIL,8,CGW2*.BTC,0.16,OLT00**SAR*5
22.D9,0.024,RETAIL,9,CGW*.BDS,0.16,OLT00**SAR*5
22.D10,0.024,RETAIL,10,CGW2*.BTC,0.16,OLT00**SAR*5
22.D11,0.024,RETAIL,11,CGW*.BDS,0.16,OLT00**SAR*5
22.D12,0.024,RETAIL,12,CGW2*.BTC,0.16,OLT00**SAR*5
22.D13,0.024,RETAIL,13,CGW*.BDS,0.16,OLT00**SAR*5
22.D14,0.024,RETAIL,14,CGW*.MDO,0.16,OLT00**SAR*5
22.D15,0.024,RETAIL,15,CGW*.PNK,0.16,OLT00**SAR*5
22.D16,0.024,RETAIL,16,TEL#_CGW2*.BDS,0.16,OLT00**SAR*5
22.D17,0.024,RETAIL,17,TEL#_CGW2**BDS,0.16,OLT00**SAR*5
22.D18,0.024,RETAIL,18,TEL#_CGW*.BDS,0.16,OLT00**SAR*5
22.D19,0.024,RETAIL,19,CGW2*.BTC,0.16,OLT00**SAR*5
22.D20,0.024,RETAIL,20,CGW*.BDS,0.16,OLT00**SAR*5
22.D21,0.024,RETAIL,21,CGW2*.BTC,0.16,OLT00**SAR*5
22.D22,0.024,RETAIL,22,CGW*.BDS,0.16,OLT00**SAR*5
22.D23,0.024,RETAIL,23,CGW2*.BTC,0.16,OLT00**SAR*5
22.D24,0.024,RETAIL,24,CGW*.BDS,0.16,OLT00**SAR*5
22.D25,0.024,RETAIL,25,CGW2*.BTC,0.16,OLT00**SAR*5
22.D26,0.024,RETAIL,26,CGW*.BDS,0.16,OLT00**SAR*5
22.D27,0.048,EBIS,27,CGW2*.BTC,0.32,OLT00**SAR*5
22.D28,0.048,EBIS,28,CGW*.BDS,0.32,OLT00**SAR*5
22.D29,0.071999997,WHOLESALE,29,CGW*.BDS,0.48,OLT00**SAR*5
22.D30,0.071999997,WHOLESALE,30,CGW*.MDO,0.48,OLT00**SAR*5
22.D31,0.096000001,MOBILE,31,CGW*.BDS,0.64,OLT00**SAR*5
22.D32,0.096000001,MOBILE,32,CGW*.MDO,0.64,OLT00**SAR*5
22.D33,0.024,RETAIL,33,CNGoogle,0.16,OLT00**SAR*5
22.D34,0.024,RETAIL,34,CNFacebook,0.16,OLT00**SAR*5
22.D35,0.024,RETAIL,35,CNNetflix,0.16,OLT00**SAR*5
22.D36,0.024,RETAIL,36,CNConversant,0.16,OLT00**SAR*5
22.D37,0.024,EBIS,37,CNGoogle,0.16,OLT00**SAR*5
22.D38,0.024,EBIS,38,CNFacebook,0.16,OLT00**SAR*5
22.D39,0.024,EBIS,39,CNNetflix,0.16,OLT00**SAR*5
22.D40,0.024,EBIS,40,CNConversant,0.16,OLT00**SAR*5
22.D41,0.024,WHOLESALE,41,CNGoogle,0.16,OLT00**SAR*5
22.D42,0.024,WHOLESALE,42,CNFacebook,0.16,OLT00**SAR*5
22.D43,0.024,WHOLESALE,43,CNNetflix,0.16,OLT00**SAR*5
22.D44,0.024,WHOLESALE,44,CNConversant,0.16,OLT00**SAR*5
22.D45,0.048,MOBILE,45,CNGoogle,0.32,OLT00**SAR*5
22.D46,0.048,MOBILE,46,CNFacebook,0.32,OLT00**SAR*5
22.D47,0.048,MOBILE,47,CNNetflix,0.32,OLT00**SAR*5
22.D48,0.048,MOBILE,48,CNConversant,0.32,OLT00**SAR*5
22.D49,0.032000002,RETAIL,49,CNIptv,0.213333333,OLT00**SAR*5
22.D50,0.032000002,EBIS,50,CNIptv,0.213333333,OLT00**SAR*5
23.D1,0.090000004,RETAIL,1,CGW2*.BTC,0.597,OLT00**SMP*3
23.D2,0.090000004,RETAIL,2,CGW*.BDS,0.597,OLT00**SMP*3
23.D3,0.090000004,RETAIL,3,CGW*.MDO,0.597,OLT00**SMP*3
23.D4,0.090000004,RETAIL,4,CGW*.PNK,0.597,OLT00**SMP*3
23.D5,0.090000004,RETAIL,5,TEL#_CGW2*.BDS,0.597,OLT00**SMP*3
23.D6,0.090000004,RETAIL,6,TEL#_CGW2**BDS,0.597,OLT00**SMP*3
23.D7,0.090000004,RETAIL,7,TEL#_CGW*.BDS,0.597,OLT00**SMP*3
23.D8,0.090000004,RETAIL,8,CGW2*.BTC,0.597,OLT00**SMP*3
23.D9,0.090000004,RETAIL,9,CGW*.BDS,0.597,OLT00**SMP*3
23.D10,0.090000004,RETAIL,10,CGW2*.BTC,0.597,OLT00**SMP*3
23.D11,0.090000004,RETAIL,11,CGW*.BDS,0.597,OLT00**SMP*3
23.D12,0.090000004,RETAIL,12,CGW2*.BTC,0.597,OLT00**SMP*3
23.D13,0.090000004,RETAIL,13,CGW*.BDS,0.597,OLT00**SMP*3
23.D14,0.090000004,RETAIL,14,CGW*.MDO,0.597,OLT00**SMP*3
23.D15,0.090000004,RETAIL,15,CGW*.PNK,0.597,OLT00**SMP*3
23.D16,0.090000004,RETAIL,16,TEL#_CGW2*.BDS,0.597,OLT00**SMP*3
23.D17,0.090000004,RETAIL,17,TEL#_CGW2**BDS,0.597,OLT00**SMP*3
23.D18,0.090000004,RETAIL,18,TEL#_CGW*.BDS,0.597,OLT00**SMP*3
23.D19,0.090000004,RETAIL,19,CGW2*.BTC,0.597,OLT00**SMP*3
23.D20,0.090000004,RETAIL,20,CGW*.BDS,0.597,OLT00**SMP*3
23.D21,0.090000004,RETAIL,21,CGW2*.BTC,0.597,OLT00**SMP*3
23.D22,0.090000004,RETAIL,22,CGW*.BDS,0.597,OLT00**SMP*3
23.D23,0.090000004,RETAIL,23,CGW2*.BTC,0.597,OLT00**SMP*3
23.D24,0.090000004,RETAIL,24,CGW*.BDS,0.597,OLT00**SMP*3
23.D25,0.090000004,RETAIL,25,CGW2*.BTC,0.597,OLT00**SMP*3
23.D26,0.090000004,RETAIL,26,CGW*.BDS,0.597,OLT00**SMP*3
23.D27,0.179000005,EBIS,27,CGW2*.BTC,1.194,OLT00**SMP*3
23.D28,0.179000005,EBIS,28,CGW*.BDS,1.194,OLT00**SMP*3
23.D29,0.268999994,WHOLESALE,29,CGW*.BDS,1.791,OLT00**SMP*3
23.D30,0.268999994,WHOLESALE,30,CGW*.MDO,1.791,OLT00**SMP*3
23.D31,0.35800001,MOBILE,31,CGW*.BDS,2.388,OLT00**SMP*3
23.D32,0.35800001,MOBILE,32,CGW*.MDO,2.388,OLT00**SMP*3
23.D33,0.090000004,RETAIL,33,CNGoogle,0.597,OLT00**SMP*3
23.D34,0.090000004,RETAIL,34,CNFacebook,0.597,OLT00**SMP*3
23.D35,0.090000004,RETAIL,35,CNNetflix,0.597,OLT00**SMP*3
23.D36,0.090000004,RETAIL,36,CNConversant,0.597,OLT00**SMP*3
23.D37,0.090000004,EBIS,37,CNGoogle,0.597,OLT00**SMP*3
23.D38,0.090000004,EBIS,38,CNFacebook,0.597,OLT00**SMP*3
23.D39,0.090000004,EBIS,39,CNNetflix,0.597,OLT00**SMP*3
23.D40,0.090000004,EBIS,40,CNConversant,0.597,OLT00**SMP*3
23.D41,0.090000004,WHOLESALE,41,CNGoogle,0.597,OLT00**SMP*3
23.D42,0.090000004,WHOLESALE,42,CNFacebook,0.597,OLT00**SMP*3
23.D43,0.090000004,WHOLESALE,43,CNNetflix,0.597,OLT00**SMP*3
23.D44,0.090000004,WHOLESALE,44,CNConversant,0.597,OLT00**SMP*3
23.D45,0.179000005,MOBILE,45,CNGoogle,1.194,OLT00**SMP*3
23.D46,0.179000005,MOBILE,46,CNFacebook,1.194,OLT00**SMP*3
23.D47,0.179000005,MOBILE,47,CNNetflix,1.194,OLT00**SMP*3
23.D48,0.179000005,MOBILE,48,CNConversant,1.194,OLT00**SMP*3
23.D49,0.119000003,RETAIL,49,CNIptv,0.796,OLT00**SMP*3
23.D50,0.119000003,EBIS,50,CNIptv,0.796,OLT00**SMP*3
24.D1,0.009,RETAIL,1,CGW2*.BTC,0.062,OLT00**SPD*2
24.D2,0.009,RETAIL,2,CGW*.BDS,0.062,OLT00**SPD*2
24.D3,0.009,RETAIL,3,CGW*.MDO,0.062,OLT00**SPD*2
24.D4,0.009,RETAIL,4,CGW*.PNK,0.062,OLT00**SPD*2
24.D5,0.009,RETAIL,5,TEL#_CGW2*.BDS,0.062,OLT00**SPD*2
24.D6,0.009,RETAIL,6,TEL#_CGW2**BDS,0.062,OLT00**SPD*2
24.D7,0.009,RETAIL,7,TEL#_CGW*.BDS,0.062,OLT00**SPD*2
24.D8,0.009,RETAIL,8,CGW2*.BTC,0.062,OLT00**SPD*2
24.D9,0.009,RETAIL,9,CGW*.BDS,0.062,OLT00**SPD*2
24.D10,0.009,RETAIL,10,CGW2*.BTC,0.062,OLT00**SPD*2
24.D11,0.009,RETAIL,11,CGW*.BDS,0.062,OLT00**SPD*2
24.D12,0.009,RETAIL,12,CGW2*.BTC,0.062,OLT00**SPD*2
24.D13,0.009,RETAIL,13,CGW*.BDS,0.062,OLT00**SPD*2
24.D14,0.009,RETAIL,14,CGW*.MDO,0.062,OLT00**SPD*2
24.D15,0.009,RETAIL,15,CGW*.PNK,0.062,OLT00**SPD*2
24.D16,0.009,RETAIL,16,TEL#_CGW2*.BDS,0.062,OLT00**SPD*2
24.D17,0.009,RETAIL,17,TEL#_CGW2**BDS,0.062,OLT00**SPD*2
24.D18,0.009,RETAIL,18,TEL#_CGW*.BDS,0.062,OLT00**SPD*2
24.D19,0.009,RETAIL,19,CGW2*.BTC,0.062,OLT00**SPD*2
24.D20,0.009,RETAIL,20,CGW*.BDS,0.062,OLT00**SPD*2
24.D21,0.009,RETAIL,21,CGW2*.BTC,0.062,OLT00**SPD*2
24.D22,0.009,RETAIL,22,CGW*.BDS,0.062,OLT00**SPD*2
24.D23,0.009,RETAIL,23,CGW2*.BTC,0.062,OLT00**SPD*2
24.D24,0.009,RETAIL,24,CGW*.BDS,0.062,OLT00**SPD*2
24.D25,0.009,RETAIL,25,CGW2*.BTC,0.062,OLT00**SPD*2
24.D26,0.009,RETAIL,26,CGW*.BDS,0.062,OLT00**SPD*2
24.D27,0.018999999,EBIS,27,CGW2*.BTC,0.124,OLT00**SPD*2
24.D28,0.018999999,EBIS,28,CGW*.BDS,0.124,OLT00**SPD*2
24.D29,0.028000001,WHOLESALE,29,CGW*.BDS,0.186,OLT00**SPD*2
24.D30,0.028000001,WHOLESALE,30,CGW*.MDO,0.186,OLT00**SPD*2
24.D31,0.037,MOBILE,31,CGW*.BDS,0.248,OLT00**SPD*2
24.D32,0.037,MOBILE,32,CGW*.MDO,0.248,OLT00**SPD*2
24.D33,0.009,RETAIL,33,CNGoogle,0.062,OLT00**SPD*2
24.D34,0.009,RETAIL,34,CNFacebook,0.062,OLT00**SPD*2
24.D35,0.009,RETAIL,35,CNNetflix,0.062,OLT00**SPD*2
24.D36,0.009,RETAIL,36,CNConversant,0.062,OLT00**SPD*2
24.D37,0.009,EBIS,37,CNGoogle,0.062,OLT00**SPD*2
24.D38,0.009,EBIS,38,CNFacebook,0.062,OLT00**SPD*2
24.D39,0.009,EBIS,39,CNNetflix,0.062,OLT00**SPD*2
24.D40,0.009,EBIS,40,CNConversant,0.062,OLT00**SPD*2
24.D41,0.009,WHOLESALE,41,CNGoogle,0.062,OLT00**SPD*2
24.D42,0.009,WHOLESALE,42,CNFacebook,0.062,OLT00**SPD*2
24.D43,0.009,WHOLESALE,43,CNNetflix,0.062,OLT00**SPD*2
24.D44,0.009,WHOLESALE,44,CNConversant,0.062,OLT00**SPD*2
24.D45,0.018999999,MOBILE,45,CNGoogle,0.124,OLT00**SPD*2
24.D46,0.018999999,MOBILE,46,CNFacebook,0.124,OLT00**SPD*2
24.D47,0.018999999,MOBILE,47,CNNetflix,0.124,OLT00**SPD*2
24.D48,0.018999999,MOBILE,48,CNConversant,0.124,OLT00**SPD*2
24.D49,0.012,RETAIL,49,CNIptv,0.082666667,OLT00**SPD*2
24.D50,0.012,EBIS,50,CNIptv,0.082666667,OLT00**SPD*2
25.D1,0.002,RETAIL,1,CGW2*.BTC,0.0161,OLT00**WRP*2PKO
25.D2,0.002,RETAIL,2,CGW*.BDS,0.0161,OLT00**WRP*2PKO
25.D3,0.002,RETAIL,3,CGW*.MDO,0.0161,OLT00**WRP*2PKO
25.D4,0.002,RETAIL,4,CGW*.PNK,0.0161,OLT00**WRP*2PKO
25.D5,0.002,RETAIL,5,TEL#_CGW2*.BDS,0.0161,OLT00**WRP*2PKO
25.D6,0.002,RETAIL,6,TEL#_CGW2**BDS,0.0161,OLT00**WRP*2PKO
25.D7,0.002,RETAIL,7,TEL#_CGW*.BDS,0.0161,OLT00**WRP*2PKO
25.D8,0.002,RETAIL,8,CGW2*.BTC,0.0161,OLT00**WRP*2PKO
25.D9,0.002,RETAIL,9,CGW*.BDS,0.0161,OLT00**WRP*2PKO
25.D10,0.002,RETAIL,10,CGW2*.BTC,0.0161,OLT00**WRP*2PKO
25.D11,0.002,RETAIL,11,CGW*.BDS,0.0161,OLT00**WRP*2PKO
25.D12,0.002,RETAIL,12,CGW2*.BTC,0.0161,OLT00**WRP*2PKO
25.D13,0.002,RETAIL,13,CGW*.BDS,0.0161,OLT00**WRP*2PKO
25.D14,0.002,RETAIL,14,CGW*.MDO,0.0161,OLT00**WRP*2PKO
25.D15,0.002,RETAIL,15,CGW*.PNK,0.0161,OLT00**WRP*2PKO
25.D16,0.002,RETAIL,16,TEL#_CGW2*.BDS,0.0161,OLT00**WRP*2PKO
25.D17,0.002,RETAIL,17,TEL#_CGW2**BDS,0.0161,OLT00**WRP*2PKO
25.D18,0.002,RETAIL,18,TEL#_CGW*.BDS,0.0161,OLT00**WRP*2PKO
25.D19,0.002,RETAIL,19,CGW2*.BTC,0.0161,OLT00**WRP*2PKO
25.D20,0.002,RETAIL,20,CGW*.BDS,0.0161,OLT00**WRP*2PKO
25.D21,0.002,RETAIL,21,CGW2*.BTC,0.0161,OLT00**WRP*2PKO
25.D22,0.002,RETAIL,22,CGW*.BDS,0.0161,OLT00**WRP*2PKO
25.D23,0.002,RETAIL,23,CGW2*.BTC,0.0161,OLT00**WRP*2PKO
25.D24,0.002,RETAIL,24,CGW*.BDS,0.0161,OLT00**WRP*2PKO
25.D25,0.002,RETAIL,25,CGW2*.BTC,0.0161,OLT00**WRP*2PKO
25.D26,0.002,RETAIL,26,CGW*.BDS,0.0161,OLT00**WRP*2PKO
25.D27,0.005,EBIS,27,CGW2*.BTC,0.0322,OLT00**WRP*2PKO
25.D28,0.005,EBIS,28,CGW*.BDS,0.0322,OLT00**WRP*2PKO
25.D29,0.007,WHOLESALE,29,CGW*.BDS,0.0483,OLT00**WRP*2PKO
25.D30,0.007,WHOLESALE,30,CGW*.MDO,0.0483,OLT00**WRP*2PKO
25.D31,0.01,MOBILE,31,CGW*.BDS,0.0644,OLT00**WRP*2PKO
25.D32,0.01,MOBILE,32,CGW*.MDO,0.0644,OLT00**WRP*2PKO
25.D33,0.002,RETAIL,33,CNGoogle,0.0161,OLT00**WRP*2PKO
25.D34,0.002,RETAIL,34,CNFacebook,0.0161,OLT00**WRP*2PKO
25.D35,0.002,RETAIL,35,CNNetflix,0.0161,OLT00**WRP*2PKO
25.D36,0.002,RETAIL,36,CNConversant,0.0161,OLT00**WRP*2PKO
25.D37,0.002,EBIS,37,CNGoogle,0.0161,OLT00**WRP*2PKO
25.D38,0.002,EBIS,38,CNFacebook,0.0161,OLT00**WRP*2PKO
25.D39,0.002,EBIS,39,CNNetflix,0.0161,OLT00**WRP*2PKO
25.D40,0.002,EBIS,40,CNConversant,0.0161,OLT00**WRP*2PKO
25.D41,0.002,WHOLESALE,41,CNGoogle,0.0161,OLT00**WRP*2PKO
25.D42,0.002,WHOLESALE,42,CNFacebook,0.0161,OLT00**WRP*2PKO
25.D43,0.002,WHOLESALE,43,CNNetflix,0.0161,OLT00**WRP*2PKO
25.D44,0.002,WHOLESALE,44,CNConversant,0.0161,OLT00**WRP*2PKO
25.D45,0.005,MOBILE,45,CNGoogle,0.0322,OLT00**WRP*2PKO
25.D46,0.005,MOBILE,46,CNFacebook,0.0322,OLT00**WRP*2PKO
25.D47,0.005,MOBILE,47,CNNetflix,0.0322,OLT00**WRP*2PKO
25.D48,0.005,MOBILE,48,CNConversant,0.0322,OLT00**WRP*2PKO
25.D49,0.003,RETAIL,49,CNIptv,0.021466667,OLT00**WRP*2PKO
25.D50,0.003,EBIS,50,CNIptv,0.021466667,OLT00**WRP*2PKO
26.D1,0.017999999,RETAIL,1,CGW2*.BTC,0.1169,OLT01**ABU*3
26.D2,0.017999999,RETAIL,2,CGW*.BDS,0.1169,OLT01**ABU*3
26.D3,0.017999999,RETAIL,3,CGW*.MDO,0.1169,OLT01**ABU*3
26.D4,0.017999999,RETAIL,4,CGW*.PNK,0.1169,OLT01**ABU*3
26.D5,0.017999999,RETAIL,5,TEL#_CGW2*.BDS,0.1169,OLT01**ABU*3
26.D6,0.017999999,RETAIL,6,TEL#_CGW2**BDS,0.1169,OLT01**ABU*3
26.D7,0.017999999,RETAIL,7,TEL#_CGW*.BDS,0.1169,OLT01**ABU*3
26.D8,0.017999999,RETAIL,8,CGW2*.BTC,0.1169,OLT01**ABU*3
26.D9,0.017999999,RETAIL,9,CGW*.BDS,0.1169,OLT01**ABU*3
26.D10,0.017999999,RETAIL,10,CGW2*.BTC,0.1169,OLT01**ABU*3
26.D11,0.017999999,RETAIL,11,CGW*.BDS,0.1169,OLT01**ABU*3
26.D12,0.017999999,RETAIL,12,CGW2*.BTC,0.1169,OLT01**ABU*3
26.D13,0.017999999,RETAIL,13,CGW*.BDS,0.1169,OLT01**ABU*3
26.D14,0.017999999,RETAIL,14,CGW*.MDO,0.1169,OLT01**ABU*3
26.D15,0.017999999,RETAIL,15,CGW*.PNK,0.1169,OLT01**ABU*3
26.D16,0.017999999,RETAIL,16,TEL#_CGW2*.BDS,0.1169,OLT01**ABU*3
26.D17,0.017999999,RETAIL,17,TEL#_CGW2**BDS,0.1169,OLT01**ABU*3
26.D18,0.017999999,RETAIL,18,TEL#_CGW*.BDS,0.1169,OLT01**ABU*3
26.D19,0.017999999,RETAIL,19,CGW2*.BTC,0.1169,OLT01**ABU*3
26.D20,0.017999999,RETAIL,20,CGW*.BDS,0.1169,OLT01**ABU*3
26.D21,0.017999999,RETAIL,21,CGW2*.BTC,0.1169,OLT01**ABU*3
26.D22,0.017999999,RETAIL,22,CGW*.BDS,0.1169,OLT01**ABU*3
26.D23,0.017999999,RETAIL,23,CGW2*.BTC,0.1169,OLT01**ABU*3
26.D24,0.017999999,RETAIL,24,CGW*.BDS,0.1169,OLT01**ABU*3
26.D25,0.017999999,RETAIL,25,CGW2*.BTC,0.1169,OLT01**ABU*3
26.D26,0.017999999,RETAIL,26,CGW*.BDS,0.1169,OLT01**ABU*3
26.D27,0.035,EBIS,27,CGW2*.BTC,0.2338,OLT01**ABU*3
26.D28,0.035,EBIS,28,CGW*.BDS,0.2338,OLT01**ABU*3
26.D29,0.052999999,WHOLESALE,29,CGW*.BDS,0.3507,OLT01**ABU*3
26.D30,0.052999999,WHOLESALE,30,CGW*.MDO,0.3507,OLT01**ABU*3
26.D31,0.07,MOBILE,31,CGW*.BDS,0.4676,OLT01**ABU*3
26.D32,0.07,MOBILE,32,CGW*.MDO,0.4676,OLT01**ABU*3
26.D33,0.017999999,RETAIL,33,CNGoogle,0.1169,OLT01**ABU*3
26.D34,0.017999999,RETAIL,34,CNFacebook,0.1169,OLT01**ABU*3
26.D35,0.017999999,RETAIL,35,CNNetflix,0.1169,OLT01**ABU*3
26.D36,0.017999999,RETAIL,36,CNConversant,0.1169,OLT01**ABU*3
26.D37,0.017999999,EBIS,37,CNGoogle,0.1169,OLT01**ABU*3
26.D38,0.017999999,EBIS,38,CNFacebook,0.1169,OLT01**ABU*3
26.D39,0.017999999,EBIS,39,CNNetflix,0.1169,OLT01**ABU*3
26.D40,0.017999999,EBIS,40,CNConversant,0.1169,OLT01**ABU*3
26.D41,0.017999999,WHOLESALE,41,CNGoogle,0.1169,OLT01**ABU*3
26.D42,0.017999999,WHOLESALE,42,CNFacebook,0.1169,OLT01**ABU*3
26.D43,0.017999999,WHOLESALE,43,CNNetflix,0.1169,OLT01**ABU*3
26.D44,0.017999999,WHOLESALE,44,CNConversant,0.1169,OLT01**ABU*3
26.D45,0.035,MOBILE,45,CNGoogle,0.2338,OLT01**ABU*3
26.D46,0.035,MOBILE,46,CNFacebook,0.2338,OLT01**ABU*3
26.D47,0.035,MOBILE,47,CNNetflix,0.2338,OLT01**ABU*3
26.D48,0.035,MOBILE,48,CNConversant,0.2338,OLT01**ABU*3
26.D49,0.023,RETAIL,49,CNIptv,0.155866667,OLT01**ABU*3
26.D50,0.023,EBIS,50,CNIptv,0.155866667,OLT01**ABU*3
27.D1,0.009,RETAIL,1,CGW2*.BTC,0.0631,OLT01**BAB*2
27.D2,0.009,RETAIL,2,CGW*.BDS,0.0631,OLT01**BAB*2
27.D3,0.009,RETAIL,3,CGW*.MDO,0.0631,OLT01**BAB*2
27.D4,0.009,RETAIL,4,CGW*.PNK,0.0631,OLT01**BAB*2
27.D5,0.009,RETAIL,5,TEL#_CGW2*.BDS,0.0631,OLT01**BAB*2
27.D6,0.009,RETAIL,6,TEL#_CGW2**BDS,0.0631,OLT01**BAB*2
27.D7,0.009,RETAIL,7,TEL#_CGW*.BDS,0.0631,OLT01**BAB*2
27.D8,0.009,RETAIL,8,CGW2*.BTC,0.0631,OLT01**BAB*2
27.D9,0.009,RETAIL,9,CGW*.BDS,0.0631,OLT01**BAB*2
27.D10,0.009,RETAIL,10,CGW2*.BTC,0.0631,OLT01**BAB*2
27.D11,0.009,RETAIL,11,CGW*.BDS,0.0631,OLT01**BAB*2
27.D12,0.009,RETAIL,12,CGW2*.BTC,0.0631,OLT01**BAB*2
27.D13,0.009,RETAIL,13,CGW*.BDS,0.0631,OLT01**BAB*2
27.D14,0.009,RETAIL,14,CGW*.MDO,0.0631,OLT01**BAB*2
27.D15,0.009,RETAIL,15,CGW*.PNK,0.0631,OLT01**BAB*2
27.D16,0.009,RETAIL,16,TEL#_CGW2*.BDS,0.0631,OLT01**BAB*2
27.D17,0.009,RETAIL,17,TEL#_CGW2**BDS,0.0631,OLT01**BAB*2
27.D18,0.009,RETAIL,18,TEL#_CGW*.BDS,0.0631,OLT01**BAB*2
27.D19,0.009,RETAIL,19,CGW2*.BTC,0.0631,OLT01**BAB*2
27.D20,0.009,RETAIL,20,CGW*.BDS,0.0631,OLT01**BAB*2
27.D21,0.009,RETAIL,21,CGW2*.BTC,0.0631,OLT01**BAB*2
27.D22,0.009,RETAIL,22,CGW*.BDS,0.0631,OLT01**BAB*2
27.D23,0.009,RETAIL,23,CGW2*.BTC,0.0631,OLT01**BAB*2
